Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Wind Speed [m/s](Hourly),LIVING:Zone Windows Total Transmitted Solar Radiation Rate [W](Hourly),ATTIC:Zone Windows Total Transmitted Solar Radiation Rate [W](Hourly),CRAWLSPACE:Zone Windows Total Transmitted Solar Radiation Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEATING_RESISTANCE_MAIN:Heating Coil Electricity Rate [W](Hourly)
 10/21  03:00:00,0.725,3.3083333333333336,0.0,0.0,0.0,25.130791867814185,3.326222210227371,11.384150055847302,31.88212998360811,2660.8837610473615
 10/21  04:00:00,0.016666666666666663,2.8083333333333336,0.0,0.0,0.0,24.992103278631003,2.6571571221204917,11.591849490108778,32.000021185983755,2670.722965207591
 10/21  05:00:00,-0.225,2.308333333333333,0.0,0.0,0.0,25.709600997376626,2.7493367178037715,11.74284785881269,17.611464228454853,1469.8534632992116
 10/21  06:00:00,0.19166666666666665,2.975,0.0,0.0,0.0,25.52383730730752,2.8813557075000826,11.70835030695534,56.58861315784457,4722.887770965011
 10/21  07:00:00,0.4583333333333333,3.3083333333333336,8.988281942836915,0.0,0.0,25.35846570698513,3.248591534929504,11.732058092202879,48.392339708853115,4038.826482314032
 10/21  08:00:00,0.15000000000000005,3.1,15.43118166585071,0.0,0.0,25.45923433952944,3.73768751344805,11.219113998310485,0.0,0.0
 10/21  09:00:00,1.3,2.5166666666666666,8.868289774992432,0.0,0.0,25.387610787826333,7.838439645420535,12.839529622051218,63.26916532465727,5280.446904706739
 10/21  10:00:00,2.766666666666667,1.75,11.638722525294313,0.0,0.0,25.410077743232737,7.797046508468582,12.578705501886922,0.0,0.0
 10/21  11:00:00,3.216666666666667,2.725,23.41535364917068,0.0,0.0,25.025334425822194,11.294082510570066,12.226559128046638,28.846448923842445,2407.525706243541
 10/21  12:00:00,3.7666666666666657,1.5,13.727124685103133,0.0,0.0,25.02697393437241,14.260215774545474,13.079399458172963,29.078555563827052,2426.8973350990736
 10/21  13:00:00,6.55,0.0,22.984503930405737,0.0,0.0,25.62214837438103,17.445070870054256,14.44851915261738,0.0,0.0
 10/21  14:00:00,8.825000000000001,0.875,33.57029128497998,0.0,0.0,25.13333155808728,20.990177461035422,13.939317066658822,0.0,0.0
 10/21  15:00:00,9.025,1.8499999999999999,20.29150245045639,0.0,0.0,24.85074197292519,19.599903501110617,13.472477316781067,0.0,0.0
 10/21  16:00:00,8.200000000000001,2.975,17.19721977417953,0.0,0.0,24.61786088833215,15.258244949418176,12.720201921436093,0.0,0.0
